t,state,reason,active,lin,ang,nav_wants,x,y,stuck_s,rear_gap,front_gap,side_clear,nearest,guard_blocked,obstacle_mapped,near_mapped
196.1,monitoring,,0,0.0,0.0,1,2.864,1.647,0.11,5.094,3.575,1.212,1.46,0,0,0
196.2,monitoring,,0,0.0,0.0,1,2.837,1.634,0.0,5.122,3.546,1.222,1.474,0,0,0
196.3,monitoring,,0,0.0,0.0,1,2.809,1.62,0.12,5.15,3.489,1.238,1.487,0,0,0
196.4,monitoring,,0,0.0,0.0,1,2.782,1.606,0.0,5.177,3.46,1.261,1.5,0,0,0
196.5,monitoring,,0,0.0,0.0,1,2.755,1.593,0.1,5.205,3.431,1.294,1.513,0,0,0
196.6,monitoring,,0,0.0,0.0,1,2.727,1.579,0.0,5.233,3.402,1.956,1.522,0,0,0
196.7,monitoring,,0,0.0,0.0,1,2.7,1.566,0.11,5.261,3.373,1.851,1.531,0,0,0
196.8,monitoring,,0,0.0,0.0,1,2.672,1.552,0.0,5.289,3.344,1.802,1.539,0,0,0
196.9,monitoring,,0,0.0,0.0,1,2.645,1.539,0.12,5.316,3.315,1.753,1.547,0,0,0
197.0,monitoring,,0,0.0,0.0,1,2.617,1.525,0.0,5.344,3.286,1.704,1.557,0,0,0
197.1,monitoring,,0,0.0,0.0,1,2.59,1.512,0.11,5.372,3.257,1.655,1.567,0,0,0
197.2,monitoring,,0,0.0,0.0,1,2.572,1.503,0.0,5.4,3.228,1.644,1.578,0,0,0
197.3,monitoring,,0,0.0,0.0,1,2.544,1.489,0.12,5.428,3.199,1.643,1.588,0,0,0
197.4,monitoring,,0,0.0,0.0,1,2.517,1.475,0.0,5.455,3.17,1.643,1.599,0,0,0
197.5,monitoring,,0,0.0,0.0,1,2.489,1.462,0.11,5.483,3.141,1.643,1.611,0,0,0
197.6,monitoring,,0,0.0,0.0,1,2.462,1.448,0.0,5.511,3.112,1.643,1.623,0,0,0
197.7,monitoring,,0,0.0,0.0,1,2.435,1.435,0.12,5.539,3.083,1.645,1.635,0,0,0
197.8,monitoring,,0,0.0,0.0,1,2.407,1.421,0.0,5.567,3.054,1.645,1.648,0,0,0
197.9,monitoring,,0,0.0,0.0,1,2.38,1.408,0.1,5.594,3.025,1.645,1.662,0,0,0
198.0,monitoring,,0,0.0,0.0,1,2.352,1.394,0.0,5.622,2.996,1.645,1.675,0,0,0
198.1,monitoring,,0,0.0,0.0,1,2.325,1.381,0.11,5.65,2.967,1.645,1.689,0,0,0
198.2,monitoring,,0,0.0,0.0,1,2.297,1.367,0.0,5.678,2.938,1.645,1.703,0,0,0
198.3,monitoring,,0,0.0,0.0,1,2.27,1.353,0.12,5.706,2.909,1.644,1.719,0,0,0
198.4,monitoring,,0,0.0,0.0,1,2.242,1.34,0.0,5.734,2.857,1.644,1.734,0,0,0
198.5,monitoring,,0,0.0,0.0,1,2.215,1.326,0.11,5.761,2.829,1.645,1.75,0,0,0
198.6,monitoring,,0,0.0,0.0,1,2.188,1.313,0.0,5.789,2.8,1.645,1.765,0,0,0
198.7,monitoring,,0,0.0,0.0,1,2.16,1.299,0.1,5.817,2.771,1.645,1.781,0,0,0
198.8,monitoring,,0,0.0,0.0,1,2.133,1.286,0.0,5.845,2.742,1.659,1.798,0,0,0
198.9,monitoring,,0,0.0,0.0,1,2.114,1.277,0.11,5.873,2.713,1.673,1.815,0,0,0
199.0,monitoring,,0,0.0,0.0,1,2.103,1.271,0.23,5.9,2.685,1.687,1.832,0,0,0
199.1,monitoring,,0,0.0,0.0,1,2.103,1.271,0.35,,2.648,1.676,1.838,0,0,0
199.2,monitoring,,0,0.0,0.0,1,2.103,1.271,0.46,4.509,2.604,1.662,1.838,0,0,0
199.3,monitoring,,0,0.0,0.0,1,2.103,1.271,0.0,4.413,2.566,1.667,1.839,0,0,0
199.4,monitoring,,0,0.0,0.0,1,2.103,1.271,0.11,4.357,2.535,1.668,1.84,0,0,0
199.5,monitoring,,0,0.0,0.0,1,2.096,1.269,0.21,4.319,2.513,1.674,1.841,0,0,0
199.6,monitoring,,0,0.0,0.0,1,2.074,1.263,0.32,4.329,2.503,1.668,1.848,0,0,0
199.7,monitoring,,0,0.0,0.0,1,2.044,1.256,0.0,4.354,2.478,1.667,1.867,0,0,0
199.8,monitoring,,0,0.0,0.0,1,2.014,1.248,0.12,4.383,2.449,1.667,1.889,0,0,0
199.9,monitoring,,0,0.0,0.0,1,1.985,1.24,0.0,4.413,2.409,1.667,1.911,0,0,0
200.0,monitoring,,0,0.0,0.0,1,1.955,1.233,0.12,4.462,2.38,1.666,1.93,0,0,0
200.1,monitoring,,0,0.0,0.0,1,1.926,1.225,0.0,4.491,2.35,1.666,1.932,0,0,0
200.2,monitoring,,0,0.0,0.0,1,1.896,1.218,0.11,4.521,2.321,1.667,1.935,0,0,0
200.3,monitoring,,0,0.0,0.0,1,1.866,1.21,0.0,4.551,2.292,1.668,1.938,0,0,0
200.4,monitoring,,0,0.0,0.0,1,1.837,1.202,0.12,4.58,2.263,1.669,1.942,0,0,0
200.5,monitoring,,0,0.0,0.0,1,1.807,1.195,0.0,4.61,2.234,1.674,1.947,0,0,0
200.6,monitoring,,0,0.0,0.0,1,1.787,1.19,0.11,4.64,2.204,1.682,1.951,0,0,0
200.7,monitoring,,0,0.0,0.0,1,1.758,1.182,0.0,4.67,2.175,1.69,1.956,0,0,0
