ts,v_front,v_rear,set_left,set_right,meas_fl,meas_fr,meas_rl,meas_rr,stall,event
1788647758.444,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647758.535,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647758.639,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647758.737,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647758.840,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647758.955,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647759.042,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647759.142,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647759.235,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647759.346,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647759.448,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647759.534,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647759.649,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647759.734,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647759.842,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647759.944,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647760.035,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647760.135,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647760.245,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647760.337,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647760.437,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647760.550,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647760.640,41.56,40.89,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
